Sexe du membre;Nombre de 2rm conduits par le membre;Département d habitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Cylindrée du 2rm 1;Segment du 2rm 1;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
Homme;1;35;60-69 ans;2017;1200;Trail / Supermotard;False
Homme;1;69;60-69 ans;1983;1300;Roadster;True
Homme;2;42;60-69 ans;2019;1200;Routière / GT;False
Homme;2;45;30-39 ans;2017;850;Roadster;False
Homme;1;21;60-69 ans;1996;900;Routière / GT;False
Homme;1;60;40-49 ans;2011;1600;Routière / GT;False
Homme;2;69;60-69 ans;2019;1250;Routière / GT;False
Homme;1;46;60-69 ans;2010;1300;Roadster;False
Homme;2;69;60-69 ans;2016;1600;Routière / GT;True
Homme;1;65;40-49 ans;1999;800;Routière / GT;False
Homme;4;34;50-59 ans;2015;1200;Routière / GT;False
Homme;2;91;60-69 ans;2003;1400;Roadster;True
Homme;11;95;50-59 ans;1992;750;Roadster;False
Homme;2;51;50-59 ans;2007;1300;Routière / GT;False
Homme;5;49;50-59 ans;2008;1200;Trail / Supermotard;True
Homme;1;13;60-69 ans;2012;700;Roadster;False
Homme;1;59;50-59 ans;2018;300;Custom;False
Homme;1;76;30-39 ans;2001;955;Routière / GT;False
Homme;1;55;60-69 ans;2014;1200;Trail / Supermotard;False
Homme;1;46;30-39 ans;2011;1000;Roadster;False
Homme;1;92;30-39 ans;2008;1000;Roadster;True
Homme;1;24;50-59 ans;2000;1000;Sportive;True
Homme;1;52;30-39 ans;2010;650;Roadster;True
Homme;1;37;50-59 ans;2014;800;Routière / GT;False
Homme;2;78;60-69 ans;2019;1000;Routière / GT;True
Homme;4;38;40-49 ans;2010;125;Sportive;True
Homme;1;54;40-49 ans;2014;1730;Custom;False
Homme;3;60;50-59 ans;2004;1000;Roadster;False
Homme;1;44;Moins de 30 ans;2009;650;Roadster;False
Homme;2;69;60-69 ans;2016;650;Roadster;False
Homme;1;93;60-69 ans;2007;1200;Trail / Supermotard;False
Homme;1;25;60-69 ans;2014;1300;Routière / GT;True
Homme;1;76;40-49 ans;2018;1400;Routière / GT;False
Homme;1;13;60-69 ans;2013;1190;Scooter;False
Femme;2;73;40-49 ans;2000;600;Roadster;False
Homme;2;1;60-69 ans;2007;1200;Routière / GT;False
Homme;1;59;60-69 ans;2014;1300;Routière / GT;False
Homme;1;33;30-39 ans;2009;800;Routière / GT;True
Homme;4;87;60-69 ans;1971;500;Roadster;False
Homme;4;34;60-69 ans;2011;800;Roadster;False
Homme;1;95;60-69 ans;2019;1200;Roadster;False
Homme;1;44;50-59 ans;2019;1600;Routière / GT;False
Homme;1;80;30-39 ans;2018;1100;Roadster;False
Homme;1;50;50-59 ans;2016;1200;Routière / GT;True
Homme;1;94;50-59 ans;2018;1200;Trail / Supermotard;False
Homme;3;38;50-59 ans;1995;500;Roadster;True
Homme;1;67;50-59 ans;2002;1300;Routière / GT;True
Homme;1;91;50-59 ans;2004;850;Routière / GT;False
Homme;1;64;50-59 ans;2013;1200;Trail / Supermotard;True
Homme;1;34;60-69 ans;2015;1200;Roadster;False
Homme;3;59;60-69 ans;2000;650;Trail / Supermotard;True
Homme;2;94;60-69 ans;2008;700;Routière / GT;False
Homme;1;30;40-49 ans;2004;650;Routière / GT;False
Homme;1;17;50-59 ans;2010;800;Roadster;False
Homme;1;33;30-39 ans;2006;650;Roadster;False
Homme;1;63;30-39 ans;2019;1000;Roadster;False
Homme;2;87;60-69 ans;2010;1400;Routière / GT;False
Homme;1;30;60-69 ans;2003;1150;Trail / Supermotard;False
Homme;1;59;50-59 ans;2010;1200;Roadster;False
