Répondant;Trois premiers mots;Liberté;Plaisir / bonheur / heureux / enfin;Balade / promenade / gaz / rouler / moto;Sécurité / danger;Social / amis / famille / enfant;Trois premiers mots;;;Quels ont été, pour vous, les inconvénients du confinement ?;Aucun;Liberté / contrainte / bloqué / isolement / bouger / mobilité / moto / sortir / déplacement / enfermement;Financier / Argent / Revenu;Social / ami / famille;Inconvénients;;;Quels ont été, pour vous, les avantages du confinement ?;Aucun;Circulation;Temps / Libre / repos / calme / stress;Pollution / nature;Epidémie / virus / contamination;Economie / carburant / coût;Avantages;
103181210;copains ballade sortir;;;copains ballade sortir;;copains ballade sortir;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;aménager mon temps comme je l'entends;;;aménager mon temps comme je l'entends;;;;;
103181091;Pareil Moins de controles Beau temps;;;;;;;;;Cumuler télétravail et enfants donc avoir beaucoup moins de temps libre.  Plus d'activités sociales.;;;;Cumuler télétravail et enfants donc avoir beaucoup moins de temps libre.  Plus d'activités sociales.;;;;Plus de temps en famille et s'occuper plus des enfants.;;;Plus de temps en famille et s'occuper plus des enfants.;;;;;
103181121;sortie circuit liberté;sortie circuit liberté;;;;;;;;ne pas pouvoir faire des ballades en moto le week-end avec mon épouse;;ne pas pouvoir faire des ballades en moto le week-end avec mon épouse;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181131;liberte plaisir ballade;liberte plaisir ballade;liberte plaisir ballade;liberte plaisir ballade;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;limitation de propagation;;;;;limitation de propagation;;;
103181083;plaisir balade liberté;plaisir balade liberté;plaisir balade liberté;plaisir balade liberté;;;;;;Le manque de lien social, la privation de liberté et de sortie;;Le manque de lien social, la privation de liberté et de sortie;;Le manque de lien social, la privation de liberté et de sortie;;;;d'avoir découvert le télétravail, ses avantages et inconvénients. d'avoir pris encore plus conscience que le Monde se doit de changer;;;;;;;;
103181149;prudence reflexes liberté;prudence reflexes liberté;;;;;;;;Faire a manger midi et soir;;;;;;;;Travailler normalement de la maison sans se deplacer au travail, donc sans user la moto ni consommer de l'essence.;;;;;;;;
103181125;Rouler Plaisir Enfin;;Rouler Plaisir Enfin;Rouler Plaisir Enfin;;;;;;La prise de poids.;;;;;;;;Moins de fatigue.;;;;;;;;
103181130;balade entretien pratique;;;balade entretien pratique;;;;;;manque de socialisation.;;;;manque de socialisation.;;;;temps de trajets annulés;;;temps de trajets annulés;;;;;
103181246;travail balade nettoyage;;;travail balade nettoyage;;;;;;le manque de lien social physique, pas de sport, prise de poids, l'enfer des chaînes TV d'information;;;;le manque de lien social physique, pas de sport, prise de poids, l'enfer des chaînes TV d'information;;;;faire prendre conscient à mon employeur que le télétravail n'est pas fait pour glander.;;;;;;;;
103180869;plaisir liberté voyager;plaisir liberté voyager;plaisir liberté voyager;;;;;;;ne pas pouvoir bouger et une perte de salaire consequente entre le chomage partiel et les variables en moins...;;ne pas pouvoir bouger et une perte de salaire consequente entre le chomage partiel et les variables en moins...;;;;;;du temps pour sois et du repos;;;du temps pour sois et du repos;;;;;
103181273;Roadster trip Nettoyage Vacances;;;;;;;;;Ne pas circuler;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181230;Balade Amis Visites;;;Balade Amis Visites;;Balade Amis Visites;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181124;prudence balade remise en état;;;prudence balade remise en état;;;;;;peu d'interactions sociales;;;;peu d'interactions sociales;;;;moins de frais liés aux déplacements (essence, entretien);;;;;;;;
103181251;enfin ! bon allons-y;;enfin ! bon allons-y;;;;;;;pas de contact physique avec les amis, moins de roulage moto;;pas de contact physique avec les amis, moins de roulage moto;;pas de contact physique avec les amis, moins de roulage moto;;;;casser la routine, se recentrer sur la famille, prendre du bon temps sans stresser. sublimer la créativité (musique, situations, ...) mettre en valeur la solidarité;;;casser la routine, se recentrer sur la famille, prendre du bon temps sans stresser. sublimer la créativité (musique, situations, ...) mettre en valeur la solidarité;;;;;
103181297;Road trip Jumbo Liberté;Road trip Jumbo Liberté;;;;;;;;Pas de possibilité de balade autre que le trajet domicile/travail.;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103181156;enfin !! une solution liberte;enfin !! une solution liberte;enfin !! une solution liberte;;;;;;;les sorties en moto m'ont manqué;;les sorties en moto m'ont manqué;;;;;;un avant gout de la  retraite;;;;;;;;
103181339;Enfin rouler liberté;Enfin rouler liberté;Enfin rouler liberté;Enfin rouler liberté;;;;;;Manque de contact avec les autres;;;;;;;;Ne pas se préoccuper d'autre chose que de sa famille;;;;;;;;
103181407;Balade Amis Changement;;;Balade Amis Changement;;Balade Amis Changement;;;;Impossibilité de voir du monde et de rouler plaisir;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
