Répondant;Trois premiers mots;Liberté;Plaisir / bonheur / heureux / enfin;Balade / promenade / gaz / rouler / moto;Sécurité / danger;Social / amis / famille / enfant;Trois premiers mots;;;Quels ont été, pour vous, les inconvénients du confinement ?;Aucun;Liberté / contrainte / bloqué / isolement / bouger / mobilité / moto / sortir / déplacement / enfermement;Financier / Argent / Revenu;Social / ami / famille;Inconvénients;;;Quels ont été, pour vous, les avantages du confinement ?;Aucun;Circulation;Temps / Libre / repos / calme / stress;Pollution / nature;Epidémie / virus / contamination;Economie / carburant / coût;Avantages;
103371761;Tourisme Voyage Amitié;;;;;Tourisme Voyage Amitié;;;;Stress de par les medias;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103374301;Go Go Go;;;;;;;;;Liberté perdue;;Liberté perdue;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103374689;rouler paysages vacances;;;rouler paysages vacances;;;;;;fortes contraintes pour les achats, les déplacements, les vacances, les conditions de travail et pour rouler à moto;;fortes contraintes pour les achats, les déplacements, les vacances, les conditions de travail et pour rouler à moto;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103374538;youpi balade gaz;;;youpi balade gaz;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Les économies réalisées;;;;;;Les économies réalisées;;
103374857;Liberté Utile Prudence;Liberté Utile Prudence;;;;;;;;Plus de balade moto plus de rando à pied;;Plus de balade moto plus de rando à pied;;;;;;Découverte du télétravail;;;;;;;;
103375047;Protection distanciation déplacement;;;;;;;;;Au niveau économique il y a de sacrée problème qui vont perduré pendant un bon moment.;;;;;;;;Se recentrer un peux plus sans être obliger de courir après le temps en permanence.;;;Se recentrer un peux plus sans être obliger de courir après le temps en permanence.;;;;;
103377814;Plaisir Rouler Liberté;Plaisir Rouler Liberté;Plaisir Rouler Liberté;Plaisir Rouler Liberté;;;;;;Gérer cette crise le mieux possible;;;;;;;;Diminution de la propagation du virus  Économie d argent du menage;;;;;Diminution de la propagation du virus  Économie d argent du menage;Diminution de la propagation du virus  Économie d argent du menage;;
103378009;Ballades Enduro Tour de plaine (pro);;;Ballades Enduro Tour de plaine (pro);;;;;;La garde des enfants principalement;;;;;;;;Étant agriculteur, cela n’a pas changé grand-chose pour moi;;;;;;;;
103379460;Liberté Joie Peure;Liberté Joie Peure;;;;;;;;La socialisation;;;;La socialisation;;;;Plus de temps pour faire les choses;;;Plus de temps pour faire les choses;;;;;
103379926;Se Protéger Plus;;;;;;;;;Facilite de circulation;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103380946;Balade Trajet travail Voir la mer;;;Balade Trajet travail Voir la mer;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Le calme ,moin de bruit permanent , plus d'avions ex bref le bonheur;;;Le calme ,moin de bruit permanent , plus d'avions ex bref le bonheur;;;;;
103379660;Pratique Sécurité sanitaire ;;;;Pratique Sécurité sanitaire ;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103382055;balades balades balades;;;balades balades balades;;;;;;Le bar fermé, les restos....pas de vrais réseaux sociaux en somme;;;;Le bar fermé, les restos....pas de vrais réseaux sociaux en somme;;;;Repos, lecture, sport;;;Repos, lecture, sport;;;;;
103384009;rouler copains pique nique;;;rouler copains pique nique;;rouler copains pique nique;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103383941;Danger Liberté Capharnaüm;Danger Liberté Capharnaüm;;;Danger Liberté Capharnaüm;;;;;Ne plus aller au travail en en profitant pour prendre le vélo ou la moto :(;;Ne plus aller au travail en en profitant pour prendre le vélo ou la moto :(;;;;;;Gain de temps de trajet maison/travail.;;;Gain de temps de trajet maison/travail.;;;;;
103384740;Liberté Voyageb Nouveaux horizons;Liberté Voyageb Nouveaux horizons;;;;;;;;Ne pas pouvoir se deplacerm;;;;;;;;Renouer les liens entre voisins et notamment des motards.;;;;;;;;
103385241;Balade Roadtrip Besoin;;;Balade Roadtrip Besoin;;;;;;La difficulté à se fournir en outils et ne pas avoir beaucoup de place pour travailler dans mon petit garage.;;;;;;;;J'ai pu beaucoup avancer sur ma mécanique et restauration auto. J'ai économisé en temps de trajet;;;J'ai pu beaucoup avancer sur ma mécanique et restauration auto. J'ai économisé en temps de trajet;;;J'ai pu beaucoup avancer sur ma mécanique et restauration auto. J'ai économisé en temps de trajet;;
103388435;Iron Butt  ;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103388294;enfin c'est bien en route;;enfin c'est bien en route;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103388529;révision vacances baladrs;;;;;;;;;Sédentarité excessive avec peu d'exercice c'est pas bon !;;;;;;;;Avoir le temps de réfléchir sur soi, son environnement, son travail, son couple, sa vie;;;Avoir le temps de réfléchir sur soi, son environnement, son travail, son couple, sa vie;;;;;
103388900;continuer les précautions prudence ne pas abuser;;;;;;;;;+++ société bloquée, énormes conséquences économiques et sociales;;+++ société bloquée, énormes conséquences économiques et sociales;;+++ société bloquée, énormes conséquences économiques et sociales;;;;#NOM?;;;;;;;;
103389453;Prudence Stress Embouteillage;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Profiter de ma vie de familiale;;;;;;;;
103390119;liberté du week-end balade en groupe peur sur la route;liberté du week-end balade en groupe peur sur la route;;liberté du week-end balade en groupe peur sur la route;;;;;;Pas de sortie le week-end;;;;;;;;personne sur les routes lors de mes déplacements professionnels, pas de bouchons;;;;;;;;
103392594;balade roadtrip week-end;;;balade roadtrip week-end;;;;;;manque d'interactions sociales;;;;manque d'interactions sociales;;;;se recentrer sur soi et sur ce qui compte;;;;;;;;
103397967;Geste barrière  ;;;;;;;;;Ne pas voir amis et proches;;;;Ne pas voir amis et proches;;;;Aucun avantage;Aucun avantage;;;;;;;
103399064;VOYAGE PLAISIR PARTAGE;;VOYAGE PLAISIR PARTAGE;;;;;;;Déplacement limité;;Déplacement limité;;;;;;Du temps en famille;;;Du temps en famille;;;;;
103398734;plaisir rouler avec des amis liberté;plaisir rouler avec des amis liberté;plaisir rouler avec des amis liberté;plaisir rouler avec des amis liberté;;plaisir rouler avec des amis liberté;;;;baisse de salaire, plu voir la famille et amis, rester dedans ,;;;;baisse de salaire, plu voir la famille et amis, rester dedans ,;;;;plus de temps avec mes enfants;;;plus de temps avec mes enfants;;;;;
103399168;Liberté Ballades Amis;Liberté Ballades Amis;;Liberté Ballades Amis;;Liberté Ballades Amis;;;;Relations sociales;;;;Relations sociales;;;;Télétravail;;;;;;;;
103405632;liberté plaisir danger;liberté plaisir danger;liberté plaisir danger;;liberté plaisir danger;;;;;Privation de liberté. Les seuls déplacements effectués l'ont été pour les courses (le moins possible) et le travail une dizaine de jours sur la période de confinement).;;Privation de liberté. Les seuls déplacements effectués l'ont été pour les courses (le moins possible) et le travail une dizaine de jours sur la période de confinement).;;;;;;Plus de temps à la maison pour jardiner et bricoler. Le télétravail me fait gagner 2 heures de route par jour et beaucoup de stress en moins !;;;Plus de temps à la maison pour jardiner et bricoler. Le télétravail me fait gagner 2 heures de route par jour et beaucoup de stress en moins !;;;;;
103387625;LIBERTE PLAISIR EVASION;LIBERTE PLAISIR EVASION;LIBERTE PLAISIR EVASION;;;;;;;Pas de déplacement 2 roues motorisé ou pas;;Pas de déplacement 2 roues motorisé ou pas;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103406514;libre rouler en off apaisement;;;libre rouler en off apaisement;;;;;;l'enfermement,  ne pas sortir à sa guise,  ne pas voir les autres membres de la famille, la modification des modes de communications entre les personnes;;l'enfermement,  ne pas sortir à sa guise,  ne pas voir les autres membres de la famille, la modification des modes de communications entre les personnes;;l'enfermement,  ne pas sortir à sa guise,  ne pas voir les autres membres de la famille, la modification des modes de communications entre les personnes;;;;se recentrer sur la famille;;;;;;;;
103407270;soleil son vent;;;;;;;;;sorties limitées;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103408206;Balade liberté revoir des amis;Balade liberté revoir des amis;;Balade liberté revoir des amis;;Balade liberté revoir des amis;;;;Réapprovisionnement en matériaux. Pas de répétitions avec les musiciens.;;;;;;;;Beaucoup moins de bruit. On pouvait entendre les oiseaux chanter.;;;;;;;;
103408885;whouaou enfin attention;;whouaou enfin attention;;;;;;;être confiné et ne plus aller à sa guise la connerie du comportement de certaines gents.;;;;;;;;la moindre propagation du virus;;;;;la moindre propagation du virus;;;
103411904;liberté plaisir sortie;liberté plaisir sortie;liberté plaisir sortie;;;;;;;le manque de social;;;;le manque de social;;;;Aucun avantage;Aucun avantage;;;;;;;
103412011;Potes Balades Motos;;;Potes Balades Motos;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103413071;Liberté Balade Road trip;Liberté Balade Road trip;;Liberté Balade Road trip;;;;;;Les magasins de bricolage fermé et ne pas avoir pu aller rouler en 3 roues, à loisirs.;;;;;;;;J'ai pu bricoler à la maison, profiter plus des enfants et sortir à pied marcher pendant 1h.;;;;;;;;
103416054;enfin balade sourire;;enfin balade sourire;enfin balade sourire;;;;;;Impossibilité de sortir ma moto !!!;;Impossibilité de sortir ma moto !!!;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103415898;Protection Liberté danger;Protection Liberté danger;;;Protection Liberté danger;;;;;la perte de liberté, ce qui est plus qu'un simple inconvénients de ne plus pouvoir se rendre dans la famille et les amis;;la perte de liberté, ce qui est plus qu'un simple inconvénients de ne plus pouvoir se rendre dans la famille et les amis;;la perte de liberté, ce qui est plus qu'un simple inconvénients de ne plus pouvoir se rendre dans la famille et les amis;;;;Peu de circulation sur la route se recentrer sur les choses importantes;;Peu de circulation sur la route se recentrer sur les choses importantes;;;;;;
103417003;Ne sais pas Ne sais pas Ne sais pas;;;;;;;;;Baisse de revenus;;;Baisse de revenus;;;;;Jardin mieux entretenu, travaux bien avancés dans la maison;;;;;;;;
103420622;sortie balade amis;;;sortie balade amis;;sortie balade amis;;;;Baisse du pouvoir d'achat;;;;;;;;Proximité avec ma chérie;;;;;;;;
103359992;liberté zénitude bol d'air;liberté zénitude bol d'air;;;;;;;;La mortalité, le stress induit, l'économie donc le post confinement social;;;;La mortalité, le stress induit, l'économie donc le post confinement social;;;;Le silence, la paix et la solidarité téléphonique;;;;;;;;
103421809;Stupide Moins dangereux Libre;;;;Stupide Moins dangereux Libre;;;;;Organiser le travail des collègues  Me renseigner sur les impacts économiques du covid;;;;;;;;Silence Calme Routes libres Environnement préservé;;;Silence Calme Routes libres Environnement préservé;;;;;
103424393;Balade Rasso Moto;;;Balade Rasso Moto;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103425607;Enfin Chouette Roulons;;Enfin Chouette Roulons;;;;;;;"La nécessité de remplir cet ""ausweis"" à chaque déplacement.";;"La nécessité de remplir cet ""ausweis"" à chaque déplacement.";;;;;;Moins de circulation, de bruit, de pollution dans mon environnement.;;Moins de circulation, de bruit, de pollution dans mon environnement.;;Moins de circulation, de bruit, de pollution dans mon environnement.;;;;
103425905;ballade sortie amis;;;ballade sortie amis;;ballade sortie amis;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103421626;liberté plaisir relations;liberté plaisir relations;liberté plaisir relations;;;;;;;Pas de loisirs ext, ni restau;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103426607;travail plaisir agréable;;travail plaisir agréable;;;;;;;Moins de lien social physique.;;;;Moins de lien social physique.;;;;Plus de trajet domicile travail et moins de pollution sonore et atmosphérique.;;;;Plus de trajet domicile travail et moins de pollution sonore et atmosphérique.;;;;
103379797;balade montagne mer;;;balade montagne mer;;;;;;La forme est à revoir, les grands espaces (mer, montagne etc...)aurait dû rester accessible.Je comprend les gens qui s'exposent lors du déconfinement...ça ressemblait plus à de l'emprisonnement.Il faut arrêter de nous infantiliser!;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103433777;Balades Retrouvailles entre potes Révision moto;;;Balades Retrouvailles entre potes Révision moto;;;;;;Manipulation de masse de l'opinion et de la pensée unique.;;;;;;;;Baisse de la pollution. Tranquilité dans les villes. Changement de rythme.;;;;Baisse de la pollution. Tranquilité dans les villes. Changement de rythme.;;;;
103435587;gaz à fond;;;gaz à fond;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103436124;Liberté Ludique Amis;Liberté Ludique Amis;;;;Liberté Ludique Amis;;;;- Manque de liberté - Moins d'activité sportive à l'extérieur, VTT - Pas du tout de moto - Pas de contact avec les amis;;- Manque de liberté - Moins d'activité sportive à l'extérieur, VTT - Pas du tout de moto - Pas de contact avec les amis;;- Manque de liberté - Moins d'activité sportive à l'extérieur, VTT - Pas du tout de moto - Pas de contact avec les amis;;;;Aucun avantage;Aucun avantage;;;;;;;
103440912;plaisir liberté sensation;plaisir liberté sensation;plaisir liberté sensation;;;;;;;Augmentation de la dette de l'Etat.;;;;;;;;Mettre à jour mes papiers, profiter du jardin, réviser ma grammaire et orthographe, bref améliorer mon savoir.;;;;;;;;
103442662;Balade Rouler Profiter;;;Balade Rouler Profiter;;;;;;Pas de sorties moto entre amis ni de road trip;;Pas de sorties moto entre amis ni de road trip;;Pas de sorties moto entre amis ni de road trip;;;;Aucun avantage;Aucun avantage;;;;;;;
103447860;liberte plaisir ouf;liberte plaisir ouf;liberte plaisir ouf;;;;;;;stress a rester enfermer;;stress a rester enfermer;;;;;;trajet travail rapide sans bouchons;;;;;;;;
103449661;Ballades Copains Virages;;;Ballades Copains Virages;;Ballades Copains Virages;;;;La limitation des déplacements, le manque de relations sociales;;La limitation des déplacements, le manque de relations sociales;;La limitation des déplacements, le manque de relations sociales;;;;Le calme;;;Le calme;;;;;
103450786;balade nature évasion;;;balade nature évasion;;;;;;Economie en difficulté Interdiction de rouler;;;;;;;;Limitation de la propagation du virus;;;;;Limitation de la propagation du virus;;;
103453869;balades plaisir tranquille;;balades plaisir tranquille;balades plaisir tranquille;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;relativisation sur les choses de la vie et les priorités de la vie profiter du temps et du calme moins d'activité des gens  rapport aux centres d'intérêts remis en place;;;relativisation sur les choses de la vie et les priorités de la vie profiter du temps et du calme moins d'activité des gens  rapport aux centres d'intérêts remis en place;;;;;
103454305;batterrie (HS) dégripage (pistons frein) pression (vérification pneu);;;;;;;;;ne plus pouvoir rencontrer d'autres personnes;;;;;;;;plus de temps pour lire la presse écrite 2RM;;;plus de temps pour lire la presse écrite 2RM;;;;;
103454807;balade avec les copains voir la montagne;;;balade avec les copains voir la montagne;;balade avec les copains voir la montagne;;;;j'ai travaillé;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103464964;balade photo amis;;;balade photo amis;;balade photo amis;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Je suis resté chez moi au lieu de faire 320 km pour aller travailler;;;;;;;;
103468055;balades plaisir liberté;balades plaisir liberté;balades plaisir liberté;balades plaisir liberté;;;;;;Moins de contacts sociaux/humains. Ne pas avoir pu rouler à moto (virée moto annulée);;Moins de contacts sociaux/humains. Ne pas avoir pu rouler à moto (virée moto annulée);;Moins de contacts sociaux/humains. Ne pas avoir pu rouler à moto (virée moto annulée);;;;Avoir pu passer plus de temps avec mes enfants. Moins de stress dû au rythme de la vie quotidienne;;;Avoir pu passer plus de temps avec mes enfants. Moins de stress dû au rythme de la vie quotidienne;;;;;
103479576;liberté no stress plaisir;liberté no stress plaisir;liberté no stress plaisir;;;;;;;le manque de voir du monde et de liberté;;le manque de voir du monde et de liberté;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103487301;balade groupes limites;;;balade groupes limites;;;;;;Tous les lieux de restauration fermés;;;;;;;;Quasiment pas de circulation sur les routes.;;Quasiment pas de circulation sur les routes.;;;;;;
103492813;liberté plaisir bonheur;liberté plaisir bonheur;liberté plaisir bonheur;;;;;;;Manque de sortie, ou sortie avec autorisation;;;;;;;;Télétravail Rapprochement avec la famille;;;;;;;;
103503657;Balade retrouver les copains liberté;Balade retrouver les copains liberté;;Balade retrouver les copains liberté;;Balade retrouver les copains liberté;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;rester à la maison , fait encore plus de photos .;;;;;;;;
103516020;révision sortie amis;;;;;révision sortie amis;;;;- augmentation des prix de l'alimentaire entre autre;;;;;;;;#NOM?;;;;;;;;
103528878;Rouler Amis Arsouille;;;Rouler Amis Arsouille;;Rouler Amis Arsouille;;;;être confiné;;;;;;;;Moins de mort;;;;;;;;
103531117;Balades Rassemblement Copains;;;Balades Rassemblement Copains;;Balades Rassemblement Copains;;;;L enfermement;;L enfermement;;;;;;Moins de frais kilométrique;;;;;;;;
103540094;respirer liberté le pied;respirer liberté le pied;;;;;;;;obligation de justificatifs;;;;;;;;sécurité sanitaire;;;;;;;;
103541953;liberté balades art de vie;liberté balades art de vie;;liberté balades art de vie;;;;;;Manque de liberté;;Manque de liberté;;;;;;Diminution de la propagation de la covid 19. Jardinage, temps libre pour la lecture.;;;Diminution de la propagation de la covid 19. Jardinage, temps libre pour la lecture.;;Diminution de la propagation de la covid 19. Jardinage, temps libre pour la lecture.;;;
103584699;vite une ballade moto un pique nique avec des potes rouler;;;vite une ballade moto un pique nique avec des potes rouler;;;;;;ne pas voir familles et amis, ne pas pouvoir se promener;;;;ne pas voir familles et amis, ne pas pouvoir se promener;;;;du temps pour bricoler et jardiner;;;du temps pour bricoler et jardiner;;;;;
103588316;Balade POtes Liberté;Balade POtes Liberté;;Balade POtes Liberté;;;;;;Pas sortir en moto;;Pas sortir en moto;;;;;;Ma famille;;;;;;;;
103588439;Habitude Tranquillité Circulation fluide;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103588367;balade rouler sortir;;;balade rouler sortir;;;;;;Chute de l'économie.;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103588339;balade rencontre liberté;balade rencontre liberté;;balade rencontre liberté;;;;;;Bloqué au niveau déplacements;;Bloqué au niveau déplacements;;;;;;J'ai fait des travaux que je repoussais depuis trop longtemps;;;J'ai fait des travaux que je repoussais depuis trop longtemps;;;;;
103588471;Controle Liberté Balade;Controle Liberté Balade;;Controle Liberté Balade;;;;;;Liens sociaux;;;;Liens sociaux;;;;Limiter la propagation du virus;;;;;Limiter la propagation du virus;;;
103588403;pas de changement connerie de confinement je m'en moque j'ai toujours roulé;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Le calme et la diminution de la pollution et moins de monde sur les routes.;;;Le calme et la diminution de la pollution et moins de monde sur les routes.;Le calme et la diminution de la pollution et moins de monde sur les routes.;;;;
103588338;Superbe Géniale 2 roue;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103588661;Plaisir Liberté Utilité;Plaisir Liberté Utilité;Plaisir Liberté Utilité;;;;;;;Manque d’activités et de sociabilité;;;;Manque d’activités et de sociabilité;;;;Temps pour moi, repos;;;Temps pour moi, repos;;;;;
103588602;liberté sourire soleil;liberté sourire soleil;;;;;;;;Isolement;;Isolement;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103588651;hygiene distance liberté;hygiene distance liberté;;;;;;;;source de stress et de defiance;;;;;;;;baisse de la circulation et pollution, montré l'interet du teletravail pour beaucoup de profession, passer du temps avec ma famille;;baisse de la circulation et pollution, montré l'interet du teletravail pour beaucoup de profession, passer du temps avec ma famille;baisse de la circulation et pollution, montré l'interet du teletravail pour beaucoup de profession, passer du temps avec ma famille;baisse de la circulation et pollution, montré l'interet du teletravail pour beaucoup de profession, passer du temps avec ma famille;;;;
103588736;liberté plaisir evasion;liberté plaisir evasion;liberté plaisir evasion;;;;;;;delai approvisionement piece moto;;delai approvisionement piece moto;;;;;;plus de temps;;;plus de temps;;;;;
103588811;Précaution Liberté Plaisir;Précaution Liberté Plaisir;Précaution Liberté Plaisir;;;;;;;Ne pas pouvoir sortir profiter du soleil en moto pour se détendre;;Ne pas pouvoir sortir profiter du soleil en moto pour se détendre;;;;;;Passer plus de temps en famille et réviser pour les examens;;;Passer plus de temps en famille et réviser pour les examens;;;;;
103588900;Liberté travail liberté;Liberté travail liberté;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103588658;liberté horizon bouger;liberté horizon bouger;;;;;;;;Isolement, rester enfermé;;Isolement, rester enfermé;;;;;;Se retrouver avec soi-même et faire une pause sur le travail et les déplacements;;;;;;;;
103588983;ENFIN rien rien;;ENFIN rien rien;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103589061;aa aa aa;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103589065;roadtrip crampons s'echapper;;;;;;;;;Pas de moto!;;Pas de moto!;;;;;;Pas de trajet boulot;;;;;;;;
103588969;Joie Exhaltation Prudence;;;;;;;;;Ne pas pouvoir faire de moto, pas de bars ni restauration;;Ne pas pouvoir faire de moto, pas de bars ni restauration;;;;;;Avoir du temps pour sois et s'occuper de notre 2 roues;;;Avoir du temps pour sois et s'occuper de notre 2 roues;;;;;
103589172;Enfin Libre Plaisir;;Enfin Libre Plaisir;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Le temps pour soi et mes proches. Travaux à la maison;;;Le temps pour soi et mes proches. Travaux à la maison;;;;;
103589480;Aucun Idem Pas de changement;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Moins de stress et moins de temps passé dans les déplacements domicile travail grâce au télétravail.;;;Moins de stress et moins de temps passé dans les déplacements domicile travail grâce au télétravail.;;;;;
103589108;promenade radars tourelle cynémomètres;;;promenade radars tourelle cynémomètres;;;;;;Fin des rapports sociaux et médiatisation anxiogène;;;;Fin des rapports sociaux et médiatisation anxiogène;;;;Moins de kilomètres de trajet;;;;;;;;
103589843;Enfin liberté détente;Enfin liberté détente;Enfin liberté détente;;;;;;;isolement;;isolement;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103589795;Balades Amis Sorties;;;Balades Amis Sorties;;Balades Amis Sorties;;;;Manque de voir ses proches et amis.;;;;Manque de voir ses proches et amis.;;;;Moins de pollution et de circulation routière.;;Moins de pollution et de circulation routière.;;Moins de pollution et de circulation routière.;;;;
103589783;liberté evasion respirer;liberté evasion respirer;;;;;;;;Manque d'interaction sociale en presence;;;;Manque d'interaction sociale en presence;;;;Très bon pour l'environnement Très bon pour relativiser nos besoins réel et penser à au fait que l'on est pousser à la surconsommation Retour à des valeurs plus essentielles et moins superficielles;;;;;;;;
103589620;liberté  ;liberté  ;;;;;;;;perte de la liberté;;perte de la liberté;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103590084;ballade partage évasion;;;ballade partage évasion;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Néant. J'ai travaillé normalement.;;;;;;;;
103590197;Roadtrip Rien D'autre;;;;;;;;;Financière;;;Financière;;;;;Aucun avantage;Aucun avantage;;;;;;;
103590171;Prudence Liberté Potes;Prudence Liberté Potes;;;;;;;;Manque de liberté;;Manque de liberté;;;;;;Mettre en valeur le télétravail pour ceux qui peuvent. Mettre en avant les problématiques de la délocalisation.;;;;;;;;
103590349;Morvan Rouler Plaisir;;Morvan Rouler Plaisir;Morvan Rouler Plaisir;;;;;;Financier.;;;Financier.;;;;;Ecologique;;;;;;;;
103590560;copain balade liberté;copain balade liberté;;copain balade liberté;;copain balade liberté;;;;pas de vie sociale;;;;pas de vie sociale;;;;prendre le temps;;;prendre le temps;;;;;
103590537;Rouler Plaisir Évasion;;Rouler Plaisir Évasion;Rouler Plaisir Évasion;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103590651;youpi cool benzaï;;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103590232;plaisir de rouler liberté utilité;plaisir de rouler liberté utilité;plaisir de rouler liberté utilité;plaisir de rouler liberté utilité;;;;;;perte de sociabilité via les rencontres impact sur l'économie;;;;perte de sociabilité via les rencontres impact sur l'économie;;;;un bon test sur notre résistance psychologique poursuivre sa mutation alimentaire prendre le temps pour réfléchir sur le sens donné à sa vie et sur la société qu'on nous propose remettre l'humain au cœur du système;;;un bon test sur notre résistance psychologique poursuivre sa mutation alimentaire prendre le temps pour réfléchir sur le sens donné à sa vie et sur la société qu'on nous propose remettre l'humain au cœur du système;;;;;
103588760;balade remise à niveau ;;;balade remise à niveau ;;;;;;Pas de possibilité de faire des balades même sans croiser des gens ou s'arrêter;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103590881;Voyage Liberté Choix;Voyage Liberté Choix;;;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103590806;liberté balade vivre;liberté balade vivre;;liberté balade vivre;;;;;;le travail;;;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103590704;liberté balade convivialité;liberté balade convivialité;;liberté balade convivialité;;;;;;L'absence de liberté L'absence de séparation de la sphère privée avec le travail. La distenciation sociale;;L'absence de liberté L'absence de séparation de la sphère privée avec le travail. La distenciation sociale;;L'absence de liberté L'absence de séparation de la sphère privée avec le travail. La distenciation sociale;;;;Aucun avantage;Aucun avantage;;;;;;;
103590090;youpi vive la moto vamos;;;youpi vive la moto vamos;;;;;;Aucun inconvénient;Aucun inconvénient;;;;;;;je n'ai pas étais confiné;;;;;;;;
103590783;Liberté Balade Danger;Liberté Balade Danger;;Liberté Balade Danger;Liberté Balade Danger;;;;;Limitations de deplaceme t, pas de sortie ludique en moto;;Limitations de deplaceme t, pas de sortie ludique en moto;;;;;;Moins de monde sur les routes ! Une sensation de bien etre sur les eoutes lors des deplacements;;;;;;;;
103590536;solution sécurité liberté;solution sécurité liberté;;;solution sécurité liberté;;;;;tout seul dans 30m². Je me consolais en pensant à ceux qui sont à 5 dans 20m²;;;;;;;;découverte du télé travail , et des télés réunions que je cherchais à développer(sans succès) depuis des années dans mon travail. Le confinment a permis de faire bouger les lignes;;;;;;;;
103592267;enfin super chouette;;enfin super chouette;;;;;;;bloqué à la maison = moins de moto, moins de sortie, moins d'amis, moins de famille (soeur frere parent) moins de liberté;;bloqué à la maison = moins de moto, moins de sortie, moins d'amis, moins de famille (soeur frere parent) moins de liberté;;bloqué à la maison = moins de moto, moins de sortie, moins d'amis, moins de famille (soeur frere parent) moins de liberté;;;;de temps avec ma famille directe;;;de temps avec ma famille directe;;;;;
103592528;balade  ;;;balade  ;;;;;;la difficulté à faire les courses le télétravail à deux;;;;;;;;Moins de bruit dans la rue;;;;;;;;
103592443;pluie moto plaisir;;pluie moto plaisir;pluie moto plaisir;;;;;;Ne pas pouvoir aller rouler alors qu'il faisait beau;;;;;;;;voir moins de monde;;;;;;;;
103592670;Enfin Plaisir Découverte;;Enfin Plaisir Découverte;;;;;;;Privation liberté;;Privation liberté;;;;;;Aucun avantage;Aucun avantage;;;;;;;
103592690;Sortir Liberté Amis;Sortir Liberté Amis;;;;Sortir Liberté Amis;;;;Perte de lien social;;;;Perte de lien social;;;;Limitation des déplacements professionnels;;;;;;;;
103588303;balades visites liberté;balades visites liberté;;balades visites liberté;;;;;;moins de vie sociale;;;;moins de vie sociale;;;;plus de télétravail donc moins de temps dans les trajets;;;plus de télétravail donc moins de temps dans les trajets;;;;;
