Situation familiale;Sexe du membre;Nombre de personnes dans le foyer;Nombre de 2rm conduits par le membre;Nombre denfants à charge;Département dhabitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Assurance du 2rm 1;Cylindrée du 2rm 1;Fréquence dutilisation du 2rm 1;Nombre de kilomètres parcourus par an avec 2rm 1;Appellation du 2rm 1;Marque du 2rm 1;Segment du 2rm 1;Stationnement du 2RM 1;Usage du 2rm 1;Budget 2-roues (hors carburant);Votre profession :;Votre catégorie socioprofessionnelle :;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
En couple sans enfant;Homme;2;2;0;91;50-59 ans;2016;APRIL MOTO (AMT);950;Tous les jours;10000;MULTISTRADA 950;DUCATI;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;4500;ingénieur dapplications 3D;Cadre;False
En couple avec enfant(s);Homme;4;1;2;14;40-49 ans;2006;ALLIANZ;1200;Tous les jours;25000;K1200GT;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;mécanicien poids lourd;Ouvrier;False
Seul(e) sans enfant;Homme;1;2;0;94;60-69 ans;2019;MAIF;1250;Quelques fois par mois;25000;R1250GS ADVENTURE HP;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;3000;Retraité;Retraité;False
En couple avec enfant(s);Homme;3;1;1;67;50-59 ans;1983;MUTUELLE DES MOTARDS;550;Quelques fois par an;1000;XJ;YAMAHA;Roadster;Parking privé clos;Pour les loisirs;300;Ingénieur;Cadre;False
Seul(e) avec enfants;Homme;2;1;1;77;50-59 ans;2011;MACIF;1000;Tous les jours;25000;CB 1000FA ABS;HONDA;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;400;responsable informatique et télécom;Cadre;False
En couple avec enfant(s);Homme;3;2;1;75;50-59 ans;2007;AUTRE;600;Tous les jours;12000;"FZ6 ""S2""";YAMAHA;Roadster;Parking privé non clos;Pour les trajets domicile travail;500;Ingénieur système en informatique;Cadre;False
En couple sans enfant;Homme;2;2;0;83;30-39 ans;2017;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;8000;S1000R (FULL);BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;2000;Responsable contrôles et analy;Cadre;False
En couple sans enfant;Homme;2;1;0;60;30-39 ans;2019;MUTUELLE DES MOTARDS;300;Quelques fois par mois;1000;ENDURO 2T;TM RACING;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;mecanicien agricole;Ouvrier;False
En couple sans enfant;Homme;2;1;0;81;40-49 ans;2011;MUTUELLE DES MOTARDS;1100;Quelques fois par semaine;6000;MONSTER EVO ABS;DUCATI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;600;Ingénieur mécanique;Cadre;False
En couple sans enfant;Homme;2;1;0;93;40-49 ans;2013;MUTUELLE DES MOTARDS;1190;Quelques fois par semaine;10000;ADVENTURE PACK ELECTRO;KTM;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;2000;operateur de navire de commerce;Cadre;False
