Situation familiale;Sexe du membre;Nombre de personnes dans le foyer;Nombre de 2rm conduits par le membre;Nombre denfants à charge;Département dhabitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Assurance du 2rm 1;Cylindrée du 2rm 1;Fréquence dutilisation du 2rm 1;Nombre de kilomètres parcourus par an avec 2rm 1;Appellation du 2rm 1;Marque du 2rm 1;Segment du 2rm 1;Stationnement du 2RM 1;Usage du 2rm 1;Budget 2-roues (hors carburant);Votre profession :;Votre catégorie socioprofessionnelle :;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
En couple sans enfant;Homme;2;1;0;95;50-59 ans;2004;MUTUELLE DES MOTARDS;1300;Tous les jours;8000;FJR 1300A  GT;YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;200;Carrossier;Employé;False
En couple avec enfant(s);Homme;4;1;2;69;50-59 ans;2008;MUTUELLE DES MOTARDS;650;Tous les jours;10000;BANDIT-S;SUZUKI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;enseignant;Cadre;False
Seul(e) sans enfant;Homme;1;4;0;66;50-59 ans;1995;MAAF;500;Quelques fois par semaine;3000;SR;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;1000;commercial;Cadre;False
En couple avec enfant(s);Homme;4;3;2;92;40-49 ans;2010;ASSURANCE CREDIT MUTUEL (ACM);500;Tous les jours;10000;T-MAX;YAMAHA;Scooter;Garage individuel (ou box privatif);Pour les trajets professionnels;;Autoentrepreneur;Cadre;False
En couple avec enfant(s);Homme;3;1;1;87;50-59 ans;2015;MUTUELLE DES MOTARDS;1200;Quelques fois par mois;5000;R1200GS ABS;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;;ingénieur hospitalier;Cadre;False
Seul(e) sans enfant;Homme;1;1;0;13;40-49 ans;2017;AMV (ASSURANCE MOTO VERTE);765;Quelques fois par semaine;12000;STREET TRIPLE RS;TRIUMPH;Roadster;Parking privé clos;Pour les loisirs;500;Réceptionniste;Employé;False
En couple sans enfant;Homme;2;1;0;31;50-59 ans;2018;MACIF;800;Tous les jours;10000;TIGER XRT;TRIUMPH;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;500;ingénieur;Cadre;False
Autre;Homme;4;2;0;38;40-49 ans;2001;MUTUELLE DES MOTARDS;600;Quelques fois par mois;2500;ZZR;KAWASAKI;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;150;conseiller immobilier;Profession libérale et artistique;False
En couple sans enfant;Homme;2;3;0;68;60-69 ans;2012;MACIF;1200;Quelques fois par semaine;10000;CROSSTOURER;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;;Photographe;Retraité;False
En couple avec enfant(s);Homme;3;3;1;21;30-39 ans;2008;MUTUELLE DES MOTARDS;1200;Quelques fois par an;100;SPORTSTER NIGHTSTER;HARLEY-DAVIDSON;Roadster;Autre;Pour les loisirs;300;Exploitant agricole;Agriculteur exploitant;True
En couple avec enfant(s);Homme;4;3;2;14;40-49 ans;2011;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;7000;R1 IE (YZF-R1);YAMAHA;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;;moniteur d atelier;Employé;False
Seul(e) avec enfants;Homme;2;1;1;71;50-59 ans;2016;MUTUELLE DES MOTARDS;900;Quelques fois par mois;2000;VULCAN LIGHT TOURER;KAWASAKI;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;0;routier;Ouvrier;False
En couple avec enfant(s);Homme;4;1;2;56;40-49 ans;2012;MUTUELLE DES MOTARDS;1700;Tous les jours;20000;MT-01;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;mecanitien industriel;Ouvrier;False
En couple sans enfant;Homme;2;1;0;95;30-39 ans;2008;GMF;675;Quelques fois par mois;5000;STREET TRIPLE R;TRIUMPH;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Responsable Santé Sécurité;Cadre;False
Seul(e) sans enfant;Homme;1;2;0;78;40-49 ans;2001;MUTUELLE DES MOTARDS;955;Quelques fois par semaine;10000;TIGER;TRIUMPH;Trail / Supermotard;Voie publique;Pour les trajets domicile travail;250;InformaMecanicien;Cadre;False
En couple sans enfant;Homme;2;2;0;13;60-69 ans;2002;MUTUELLE DES MOTARDS;1300;Quelques fois par semaine;8000;PAN EUROPEAN ABS;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;300;Conducteur de T.C.;Employé;False
Seul(e) sans enfant;Homme;1;2;0;44;Moins de 30 ans;1998;AMV (ASSURANCE MOTO VERTE);600;Quelques fois par semaine;6000;SUPER SPORT;DUCATI;Sportive;Garage individuel (ou box privatif);Pour les loisirs;;Technicien détudes;Employé;False
En couple sans enfant;Homme;2;1;0;69;60-69 ans;2018;GMF;1200;Quelques fois par semaine;7500;TIGER XRT;TRIUMPH;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;350;;Retraité;False
Autre;Homme;4;1;0;69;Moins de 30 ans;2017;AMV (ASSURANCE MOTO VERTE);850;Tous les jours;25000;MT-09 TRACER (FULL);YAMAHA;Roadster;Parking privé clos;Pour les trajets domicile travail;;Graphiste;Employé;False
Seul(e) sans enfant;Homme;1;1;0;49;40-49 ans;2002;AUTRE;125;Tous les jours;10000;VARADERO;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;498;Conducteur routier;Ouvrier;False
Autre;Homme;2;3;0;54;60-69 ans;2009;MACIF;1100;Quelques fois par semaine;12000;MULTISTRADA S;DUCATI;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;;Chargé daffaires;Cadre;False
En couple sans enfant;Homme;2;1;0;91;50-59 ans;2015;AMV (ASSURANCE MOTO VERTE);650;Tous les jours;12000;V-STROM ADVENTURE;SUZUKI;Trail / Supermotard;Parking privé clos;Pour les trajets professionnels;600;cadre transport passagers par;Cadre;False
En couple sans enfant;Homme;2;1;0;75;60-69 ans;2012;AXA;1300;Tous les jours;10000;K1300S HP;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets professionnels;;Informatique;Profession libérale et artistique;False
En couple avec enfant(s);Homme;4;2;2;94;40-49 ans;2007;MUTUELLE DES MOTARDS;125;Quelques fois par an;500;GT-R;HYOSUNG;Sportive;Garage individuel (ou box privatif);Pour les loisirs;250;agent sncf;Employé;False
En couple sans enfant;Homme;2;2;0;43;60-69 ans;2018;AXA;1200;Tous les jours;35000;R1200GS ADVENTURE RALLYE;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets professionnels;;architecte;Profession libérale et artistique;True
Seul(e) avec enfants;Homme;2;1;1;75;30-39 ans;2012;ASSURBIKE;750;Tous les jours;13000;SHIVER ABS;APRILIA;Roadster;Parking privé clos;Pour les trajets domicile travail;;Responsable Réseaux;Cadre;True
En couple avec enfant(s);Femme;4;1;2;6;50-59 ans;2018;MUTUELLE DES MOTARDS;125;Quelques fois par semaine;1000;PCX;DAELIM;Scooter;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Secrétaire médicale;Employé;False
En couple avec enfant(s);Homme;5;2;3;85;50-59 ans;2012;MACIF;1200;Quelques fois par semaine;10000;CROSSTOURER TRAVEL EDITION;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;500;Directeur Industriel;Cadre;False
En couple avec enfant(s);Homme;3;1;1;12;40-49 ans;2012;MUTUELLE DES MOTARDS;990;Quelques fois par mois;3000;SUPERDUKE R (BI PLACE);KTM;Roadster;Garage individuel (ou box privatif);Pour les loisirs;800;chauffeur livreur poid lourd;Ouvrier;False
En couple avec enfant(s);Homme;5;2;3;30;50-59 ans;2016;MAAF;1000;Quelques fois par semaine;8000;S1000XR  2016;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Ingénieur;Cadre;False
Seul(e) avec enfants;Homme;2;3;1;25;50-59 ans;1998;MUTUELLE DES MOTARDS;650;Quelques fois par mois;5000;DEAUVILLE;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;Chargé daffaires;Cadre;False
En couple avec enfant(s);Homme;4;1;2;84;70 et plus;2011;MAIF;1000;Quelques fois par mois;6000;Z 1000 IE ABS;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Retraité;Retraité;False
En couple avec enfant(s);Homme;4;2;2;34;50-59 ans;2010;MUTUELLE DES MOTARDS;660;Tous les jours;12000;XT-Z TENERE;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Développeur Informatique;Cadre;False
En couple sans enfant;Homme;2;4;0;27;60-69 ans;2008;MUTUELLE DES MOTARDS;1200;Quelques fois par mois;3500;R1200R;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;btp,mécano;Retraité;False
Seul(e) sans enfant;Homme;1;1;0;30;60-69 ans;2005;MUTUELLE DES MOTARDS;650;Quelques fois par semaine;3000;BANDIT ABS;SUZUKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;350;sans (petits boulots);En recherche demploi;False
En couple sans enfant;Homme;2;1;0;26;50-59 ans;2013;MUTUELLE DES MOTARDS;750;Quelques fois par mois;3000;K75;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;300;chef de quart;Employé;False
En couple avec enfant(s);Homme;4;1;2;77;40-49 ans;2004;MUTUELLE DES MOTARDS;1300;Quelques fois par semaine;10000;FJR 1300;YAMAHA;Routière / GT;Parking privé clos;Pour les loisirs;1000;Responsable ambulancier smur;Employé;False
Seul(e) sans enfant;Homme;1;2;0;88;30-39 ans;2019;GROUPAMA;700;Quelques fois par mois;9000;MT-07 ABS 35KW 60TH ANNIVERSAR;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Intérimaire;Employé;True
En couple sans enfant;Homme;2;1;0;89;40-49 ans;1988;MUTUELLE DES MOTARDS;1500;Quelques fois par mois;3000;GOLDWING;HONDA;Routière / GT;Parking privé clos;Pour les loisirs;100;Technicien de maintenance;Ouvrier;False
En couple avec enfant(s);Homme;3;1;1;31;40-49 ans;2015;ASSURANCE CREDIT MUTUEL (ACM);1200;Tous les jours;18000;R1200R ABS PACK PRO (FULL);BMW;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;1200;Concepteur Structure Aéronautique;Cadre;False
En couple sans enfant;Femme;2;1;0;89;40-49 ans;2001;MUTUELLE DES MOTARDS;125;Quelques fois par mois;500;ELIMINATOR;KAWASAKI;Custom;Garage individuel (ou box privatif);Pour les loisirs;;ambulancière;Employé;False
En couple sans enfant;Homme;2;2;0;33;50-59 ans;1992;MUTUELLE DES MOTARDS;850;Quelques fois par mois;2000;TDM;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;1200;chauffeur livreur;Employé;False
En couple avec enfant(s);Homme;5;2;3;33;60-69 ans;1993;MUTUELLE DES MOTARDS;600;Tous les jours;10000;XTE;YAMAHA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;;PHOTOGRAPHE;Artisan, commerçant assimilé;False
Seul(e) sans enfant;Homme;1;2;0;37;70 et plus;2006;MUTUELLE DES MOTARDS;1200;Quelques fois par mois;5000;K1200LT;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;Retraité de la finance;Retraité;False
En couple avec enfant(s);Homme;5;1;3;97;40-49 ans;2017;GMF;500;Tous les jours;14986;MP3 LT HPE BUSINESS;PIAGGIO;Scooter;Parking privé non clos;Pour les trajets domicile travail;;gestionnaire;Cadre;False
En couple avec enfant(s);Homme;4;1;2;37;30-39 ans;2019;MUTUELLE DES MOTARDS;650;Tous les jours;5000;Z650  35KW;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Infirmier;Profession intermédiaire;False
En couple sans enfant;Homme;2;3;0;86;60-69 ans;1971;AUTRE;600;Quelques fois par an;0;FZ6;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;100;Enseignant;Retraité;False
En couple sans enfant;Homme;2;3;0;34;50-59 ans;2008;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;6000;BREVA ABS;MOTO GUZZI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;Directeur détablissement médi;Cadre;False
En couple avec enfant(s);Homme;3;1;1;13;60-69 ans;2002;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;20000;BANDIT-S;SUZUKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;300;Responsable de Patrimoine;Profession intermédiaire;False
En couple avec enfant(s);Homme;5;1;3;33;40-49 ans;2010;MAIF;600;Tous les jours;11000;XJ6 DIVERSION;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;400;Cadre dans un oragnisme de séc;Cadre;False
En couple sans enfant;Homme;2;1;0;75;50-59 ans;2015;MUTUELLE DES MOTARDS;800;Quelques fois par semaine;6000;;DUCATI;Roadster;Garage collectif;Pour les loisirs;;enseignant;Cadre;False
En couple avec enfant(s);Homme;3;2;1;94;50-59 ans;2007;CLUB 14;125;Quelques fois par mois;2000;GTS;SYM;Scooter;Garage individuel (ou box privatif);Pour les loisirs;;Chef de projet informatique;Cadre;False
En couple sans enfant;Homme;2;10;0;31;50-59 ans;1998;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;3000;TL-S;SUZUKI;Sportive;Garage individuel (ou box privatif);Pour les loisirs;1000;ingenieur;Cadre;True
En couple avec enfant(s);Homme;3;1;1;67;50-59 ans;2009;MACIF;675;Quelques fois par mois;3000;STREET TRIPLE;TRIUMPH;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Technicien en maintenance info;Cadre;True
En couple sans enfant;Homme;2;1;0;78;40-49 ans;2000;MUTUELLE DES MOTARDS;1450;Quelques fois par mois;6000;ROAD KING CLASSIC;HARLEY-DAVIDSON;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;Frigoriste;Employé;False
En couple avec enfant(s);Homme;4;2;2;42;30-39 ans;2006;MAAF;500;Tous les jours;15000;ER-5;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;1000;Animalier;Employé;True
En couple sans enfant;Homme;2;1;0;33;50-59 ans;2008;MUTUELLE DES MOTARDS;1050;Quelques fois par mois;5000;TIGER ABS;TRIUMPH;Roadster;Garage individuel (ou box privatif);Pour les loisirs;400;fonctionnaire;Employé;False
En couple avec enfant(s);Homme;5;1;3;84;40-49 ans;2009;AMV (ASSURANCE MOTO VERTE);1000;Quelques fois par semaine;4000;Z1000 IE  BLACK;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;300;masseur kinésithérapeute;Profession libérale et artistique;False
En couple sans enfant;Femme;2;3;0;69;30-39 ans;2012;MUTUELLE DES MOTARDS;675;Quelques fois par semaine;5000;STREET TRIPLE;TRIUMPH;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Office Manager;Cadre;True
En couple sans enfant;Homme;2;1;0;4;60-69 ans;2015;MUTUELLE DES MOTARDS;1200;Quelques fois par mois;7000;R1200GS ADVENTURE ABS PK (FULL;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;1000;Comptable;Retraité;False
En couple sans enfant;Homme;2;1;0;33;60-69 ans;1983;MUTUELLE DES MOTARDS;750;Quelques fois par an;500;VF-S (SABRE);HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;100;militaire de carrière;Retraité;False
En couple sans enfant;Homme;2;3;0;93;60-69 ans;2008;MACIF;200;Quelques fois par mois;3500;QUAD RINO;LONCIN;Quad;Garage individuel (ou box privatif);Pour les loisirs;500;chef atelier poids lourds;Cadre;False
En couple avec enfant(s);Homme;4;2;2;15;40-49 ans;2001;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;5000;CAFE RACER V2;VOXAN;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;Greffier;Profession intermédiaire;False
En couple avec enfant(s);Homme;4;1;2;27;30-39 ans;2015;MUTUELLE DES MOTARDS;1050;Tous les jours;11000;ADVENTURE;KTM;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Ingénieur détudes;Cadre;False
En couple avec enfant(s);Homme;4;1;2;34;60-69 ans;2015;MUTUELLE DES MOTARDS;850;Quelques fois par mois;1000;MT-09 ABS;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Monteur Soudeur;Ouvrier;False
En couple avec enfant(s);Homme;6;1;4;33;40-49 ans;1992;AMV (ASSURANCE MOTO VERTE);750;Quelques fois par semaine;5000;ZXR;KAWASAKI;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;600;Chauffeur routier;Ouvrier;False
En couple avec enfant(s);Homme;4;2;2;33;40-49 ans;1988;MAAF;350;Tous les jours;1000;TT;YAMAHA;Tout terrain (Trial,  Enduro, Cross);Garage individuel (ou box privatif);Pour les trajets domicile travail;;préventeur accident travail ag;Cadre;False
En couple sans enfant;Homme;2;4;0;71;60-69 ans;2014;AXA;1200;Tous les jours;12000;MULTISTRADA S GRANTURISMO;DUCATI;Roadster;Parking privé clos;Pour les loisirs;;mecanique générale;Retraité;False
En couple avec enfant(s);Homme;4;2;2;60;50-59 ans;2003;MUTUELLE DES MOTARDS;1200;Quelques fois par an;3000;ZZR;KAWASAKI;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;Infirmier;Profession intermédiaire;False
Seul(e) sans enfant;Homme;1;1;0;21;30-39 ans;2005;MUTUELLE DES MOTARDS;600;Quelques fois par semaine;12000;FZ6-S FAZER GT05;YAMAHA;Roadster;Garage collectif;Pour les loisirs;1000;Soudeur Chaudronnier;Ouvrier;False
Seul(e) avec enfants;Femme;3;1;2;83;40-49 ans;2000;MUTUELLE DES MOTARDS;750;Quelques fois par semaine;10000;AFRICA TWIN;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;;Chargée d Accueil;Employé;False
Seul(e) sans enfant;Homme;1;1;0;13;70 et plus;1988;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;5000;R100GS;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;;retraité;Retraité;False
En couple avec enfant(s);Homme;4;1;2;37;60-69 ans;1998;AUTRE;600;Quelques fois par semaine;6000;TRANSALP +35KW;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;;encadrant technique;Employé;False
En couple sans enfant;Femme;2;1;0;6;60-69 ans;2007;MUTUELLE DES MOTARDS;250;Quelques fois par semaine;2000;MP3;PIAGGIO;Scooter;Parking privé non clos;Pour les loisirs;;retraitée;Retraité;False
En couple avec enfant(s);Homme;3;1;1;6;30-39 ans;2011;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;10000;CB 1000FA ABS;HONDA;Roadster;Parking privé clos;Pour les loisirs;;Fonctionnaire;Cadre;True
En couple avec enfant(s);Homme;5;1;3;59;40-49 ans;2004;MAAF;750;Quelques jours par mois;10000;;SUZUKI;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Encadrant Technique d’Insertion pédagogique et social;Employé;False
En couple sans enfant;Femme;2;2;0;22;50-59 ans;2015;AXA;650;Quelques fois par semaine;2000;GLADIUS BOSS;SUZUKI;Roadster;Garage individuel (ou box privatif);Pour les trajets professionnels;200;infographiste;Artisan, commerçant assimilé;False
En couple avec enfant(s);Homme;3;1;1;83;40-49 ans;2010;AUTRE;1300;Quelques fois par semaine;3500;K1300S (FULL);BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;;conducteur receveur;Ouvrier;False
En couple sans enfant;Femme;2;1;0;69;30-39 ans;1998;MUTUELLE DES MOTARDS;600;Quelques fois par semaine;10;THUNDER CAT (YZF-R);YAMAHA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;technicienne de laboratoire;Employé;False
Seul(e) sans enfant;Homme;1;4;0;35;50-59 ans;2016;MUTUELLE DES MOTARDS;1600;Quelques fois par semaine;22000;K1600GTL EXCLUSIVE (FULL);BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;fonction publique détat;Employé;True
En couple avec enfant(s);Homme;3;1;1;13;50-59 ans;2017;MUTUELLE DES MOTARDS;125;Tous les jours;4500;J125;Kawasaki;Scooter;Garage individuel (ou box privatif);Pour les trajets domicile travail;550;Assistant comptable;Employé;False
En couple sans enfant;Homme;2;2;0;92;30-39 ans;2005;MATMUT;1000;Quelques fois par semaine;5000;GSX-R;SUZUKI;Sportive;Parking privé clos;Pour les loisirs;500;Responsable boutique;Employé;False
En couple sans enfant;Homme;2;1;0;53;50-59 ans;2016;MAIF;650;Tous les jours;7000;VERSYS ABS TOURER+;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Enseignant;Profession intermédiaire;False
En couple avec enfant(s);Homme;4;1;2;78;40-49 ans;2004;MUTUELLE DES MOTARDS;1000;Tous les jours;9000;SS DS;DUCATI;Routière / GT;Garage collectif;Pour les trajets domicile travail;;Agent SNCF;Ouvrier;False
Seul(e) sans enfant;Homme;1;2;0;27;40-49 ans;2019;MUTUELLE DES MOTARDS;1000;Tous les jours;14000;S1000R PACK SPORT+DYNA (FULL);BMW;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Cadre de laboratoire;Cadre;False
Autre;Homme;4;1;0;47;Moins de 30 ans;2014;MUTUELLE DES MOTARDS;650;Quelques fois par semaine;3000;CBR 650FA;HONDA;Sportive;Parking privé clos;Pour les trajets domicile travail;;Étudiant;Etudiant;False
En couple avec enfant(s);Homme;4;1;2;94;40-49 ans;2014;MUTUELLE DES MOTARDS;500;Tous les jours;11000;CB 500F;HONDA;Roadster;Garage collectif;Pour les trajets domicile travail;50;DSI;Profession intermédiaire;False
En couple avec enfant(s);Homme;3;1;1;92;50-59 ans;2017;MAAF;1000;Quelques fois par semaine;1200;AFRICA-TWIN DCT;HONDA;Trail / Supermotard;Parking privé clos;Pour les trajets domicile travail;1000;dessinateur;Cadre;True
En couple sans enfant;Homme;2;1;0;6;30-39 ans;2017;MUTUELLE DES MOTARDS;650;Quelques fois par semaine;10000;VERSYS ABS SPECIAL EDITION PK;KAWASAKI;Roadster;Garage individuel (ou box privatif);Pour les trajets professionnels;1500;Expert auprès des compagnied dassurance;Profession libérale et artistique;False
En couple sans enfant;Homme;2;1;0;26;60-69 ans;2008;MUTUELLE DES MOTARDS;1200;Quelques fois par mois;2500;R1200GS ADVENTURE ABS;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;300;retraité;Retraité;False
En couple avec enfant(s);Homme;5;2;3;77;50-59 ans;2008;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;15000;R1200RT;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Ingenieur;Cadre;False
En couple sans enfant;Homme;2;1;0;74;Moins de 30 ans;2018;MUTUELLE DES MOTARDS;500;Quelques fois par semaine;10000;CBR 500RA;HONDA;Roadster;Parking privé clos;Pour les loisirs;;Technicien son;Profession libérale et artistique;False
En couple avec enfant(s);Homme;4;2;2;95;50-59 ans;2007;MUTUELLE DES MOTARDS;1050;Quelques fois par an;3000;SPEED TRIPLE;TRIUMPH;Roadster;Parking privé clos;Pour les loisirs;;Ingenieur;Cadre;False
En couple avec enfant(s);Homme;3;2;1;95;40-49 ans;2001;MUTUELLE DES MOTARDS;1200;Quelques fois par mois;5000;R1200C INDEPENDENT ABS;BMW;Custom;Garage individuel (ou box privatif);Pour les loisirs;;architecte reseau;Cadre;False
En couple avec enfant(s);Homme;4;1;2;60;50-59 ans;2011;MACIF;1200;Quelques fois par mois;3000;"R1200GS ABS ""TRIPLE BLACK""";BMW;Trail / Supermotard;;Pour les loisirs;;Employé compagnie aérienne;Profession intermédiaire;False
En couple avec enfant(s);Homme;4;1;2;14;60-69 ans;2014;MAIF;1200;Quelques fois par semaine;4000;R1200GS ADVENTURE ABS PACK;BMW;Trail / Supermotard;Parking privé clos;Pour les loisirs;150;Chargé de recherches CNRS;Retraité;False
En couple avec enfant(s);Femme;3;2;1;45;40-49 ans;1992;MUTUELLE DES MOTARDS;750;Quelques fois par semaine;10000;VFR-F;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;;Agent SNCF;Employé;False
En couple sans enfant;Homme;2;2;0;91;40-49 ans;2011;MUTUELLE DES MOTARDS;1200;Tous les jours;5000;XTZ SUPER TENERE FIRST EDITION;YAMAHA;Trail / Supermotard;Parking privé non clos;Pour les trajets domicile travail;;Ingenieur;Profession intermédiaire;False
Seul(e) sans enfant;Homme;1;1;0;42;60-69 ans;2011;ALLIANZ;1000;Quelques fois par semaine;6000;CB 1000FA C-ABS;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;MODELEUR;Retraité;False
En couple sans enfant;Homme;2;1;0;97;60-69 ans;2004;MAIF;400;Tous les jours;12000;BURGMAN;SUZUKI;Scooter;Parking privé clos;Pour les trajets domicile travail;;Fonctionnaire;Employé;False
En couple sans enfant;Homme;2;2;0;91;30-39 ans;2013;MUTUELLE DES MOTARDS;1000;Tous les jours;60000;FZ1 FAZER ABS (FULL);YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Artisan;Ouvrier;False
En couple sans enfant;Homme;2;2;0;94;30-39 ans;2012;MAIF;125;Quelques fois par mois;2000;CB-F;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Chef de projets informatiques;Cadre;False
En couple avec enfant(s);Homme;3;1;1;21;40-49 ans;1979;AXA;900;Quelques fois par semaine;5000;BOL DOR;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;200;chef de chantier de desamianta;Ouvrier;False
Seul(e) avec enfants;Homme;3;1;2;77;50-59 ans;2008;AMV (ASSURANCE MOTO VERTE);675;Quelques fois par semaine;12000;STREET TRIPLE;TRIUMPH;Roadster;Parking privé clos;Pour les loisirs;200;fonctionnaire;Employé;False
En couple avec enfant(s);Homme;3;2;1;34;30-39 ans;2019;PACIFICA (CREDIT AGRICOLE);790;Quelques fois par mois;5000;DUKE;KTM;Roadster;Garage individuel (ou box privatif);Pour les loisirs;;Chef de produits marketing;Cadre;False
En couple avec enfant(s);Homme;3;4;1;52;40-49 ans;2012;MUTUELLE DES MOTARDS;1400;Quelques fois par semaine;12000;GTR;KAWASAKI;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;;cadre de bloc opératoire;Cadre;False
Seul(e) sans enfant;Homme;1;1;0;75;50-59 ans;2010;MUTUELLE DES MOTARDS;125;Tous les jours;4200;FLAME-X;MBK;Scooter;Voie publique;Pour les trajets domicile travail;200;Asset manager;Cadre;False
En couple sans enfant;Femme;2;1;0;29;30-39 ans;2011;PACIFICA (CREDIT AGRICOLE);600;Quelques fois par semaine;5000;XJ6 DIVERSION ABS;YAMAHA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;;Chef de projet informatique;Cadre;False
En couple avec enfant(s);Homme;3;1;1;74;50-59 ans;1990;MUTUELLE DES MOTARDS;1000;Tous les jours;10000;CALIFORNIA II;MOTO GUZZI;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;;agent entretien;Ouvrier;False
En couple avec enfant(s);Homme;4;1;2;33;50-59 ans;2011;SOLLY AZAR;1400;Quelques fois par semaine;8000;GTR;KAWASAKI;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;500;Electricien;Profession libérale et artistique;False
